Sample_29	Sample_A49	Sample_52	Sample_37	Sample_8	Sample_14	Sample_A57	Sample_A32	Sample_A11	Sample_49	Sample_A29	Sample_32	Sample_11	Sample_57	Sample_A37	Sample_A14	Sample_A52	Sample_A43	Sample_A60	Sample_A05	Sample_A26	Sample_46	Sample_65	Sample_23	Sample_A38	Sample_58	Sample_2	Sample_A23	Sample_A46	Sample_26	Sample_43	Sample_60	Sample_A58	Sample_38	Sample_7	Sample_6	Sample_39	Sample_A59	Sample_61	Sample_42	Sample_27	Sample_A64	Sample_A47	Sample_A22	Sample_A01	Sample_3	Sample_59	Sample_A39	Sample_22	Sample_64	Sample_47	Sample_A27	Sample_A04	Sample_A61	Sample_A42	Sample_A53	Sample_A15	Sample_A36	Sample_56	Sample_10	Sample_33	Sample_A28	Sample_48	Sample_A10	Sample_A33	Sample_A56	Sample_9	Sample_15	Sample_36	Sample_53	Sample_A48	Sample_28	Sample_51	Sample_17	Sample_34	Sample_A54	Sample_A12	Sample_A31	Sample_A09	Sample_12	Sample_31	Sample_54	Sample_A17	Sample_A34	Sample_A51	Sample_A63	Sample_A40	Sample_A25	Sample_A06	Sample_45	Sample_20	Sample_A18	Sample_1	Sample_A20	Sample_A03	Sample_A45	Sample_25	Sample_63	Sample_40	Sample_18	Sample_4	Sample_19	Sample_5	Sample_41	Sample_62	Sample_24	Sample_A44	Sample_A02	Sample_A21	Sample_A19	Sample_21	Sample_44	Sample_A07	Sample_A24	Sample_A41	Sample_A62	Sample_A50	Sample_A35	Sample_A16	Sample_55	Sample_30	Sample_13	Sample_A08	Sample_A30	Sample_A13	Sample_A55	Sample_35	Sample_16	Sample_50
mOTU_linkage_group_1	101095.546875	0	0	2919322.625	14284.5888672	850.5	0	0	145595.8203125	61114	0	63880.1953125	142017.8671875	50248.0761719	0	0	0	0	0	0	0	0	9477.75	0	0	594.5	984	1979.499938965	0	165.5	0	0	0	5926.29980469	0	0	0	0	0	1058.0000305175	0	0	0	0	0	0	0	1270	2762.49987793	1148.5	89	7602.00024414	0	0	1432.214294435	0	667.5	0	45839.6484375	0	66533.5	5931.767822265	0	3589.50012207	125	0	28855	0	4972	0	0	36441.5	123	72210	1321900.8125	0	0	0	0	0	0	0	0	6822.26196289	0	0	0	0	0	113853.78125	101163.183594	211	21647.0996094	2358	55741.5839844	678	2517.5	1106.5	54853	0	0	19438	67963.59375	128414.285156	0	0	0	0	0	0	0	61.4999961855	0	0	0	0	0	0	0	0	5236	335.5	0	13786.1669922	0	0	933	0	285.5
mOTU_linkage_group_2	29980.5	682.0001068115	0	56350.9980469	2641	88907.5	32854.50097655	58887.9980469	7352	30434.50292965	196.5	6487.5	166961.5	44506	81661	0	570	6922.99975586	3113.00012207	253891.5	5818	71432.49609375	7722.5	0	115	5017400.25	7959.5	5758	834	184.5	469	21594.99902345	29332.5	17898.99902345	0	2193.50012207	21717.5	8962	1030	328072.5	941	0	15478.00097655	51873	69611.5019531	984	40303.5	4205.5	0	564.0000305175	81346.5	6254.49975586	396.499984741	32435.5	33444	26047.5	29092.5	16229	2916.5	73314.49609375	88699.5	17262.5	31116.49902345	83215	67005	4090.50024414	1397	0	152714	0	0	1232.5	48774.5	28166.5019531	5079.99975586	2903.50012207	37298.4980469	90341.5	0	1411.5	0	37969.5	248	20001.50097655	112803.503906	36682	25334.5	22830	0	151.49999427795	15265	106369.5	34939.5	18722	88712	46315	4871.5	1229.5	422.5	44226.5	2270.5	17260.5004883	19816	20704	37948.5	74717	101	0	155330	3547	25691	162466	0	0	52509.5	0	0	145789	310	47356	46353.5	0	20486	55563.5	80754.50390625	0	151152	28696	38200
mOTU_linkage_group_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9169.5	0	0	0	0	0	0	196040.5	0	0	0	0	0	0	0	0	0	29717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_7	0	0	0	0	0	0	0	0	0	0	1486.5	0	0	0	0	0	0	0	0	0	0	0	0	695.5	0	0	0	0	0	0	12204.5	0	0	0	807.5	0	0	45	0	0	122.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	111456.5	0	0	0	0	0	278	0	0	0	0	0	0	0	0	182	0	0	600	0	0	0	0	0	0	161	245	0	0
mOTU_linkage_group_10	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	186	0	182798	0	0	104	0	0	0	0	0	0	0	0	68	0	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	124	0	0	0	0	0	0	0	354	2620	0	0	0	0	0	0	14.25	0	861	211.666671753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	124	3163	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_12	31707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106225.5	0	0	0	0	0	0	0	178558.5	0	1904	0	0	0	0	20515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_13	0	0	20540	0	0	0	8700	0	0	0	5586	0	0	0	0	6056	247803	18657	248	0	82219	0	0	0	155908	0	0	0	0	0	993	0	459	0	0	0	0	1808	2680	0	0	819	45578	948	0	2604	0	5200	0	721637	0	7572	1200	0	0	438	664	18575	0	0	0	0	0	0	0	919426	0	23475	0	0	5217	0	0	0	0	0	0	1236	51638	75553	0	163	248	471	187	0	2667	49795	39963	0	0	0	0	620	0	0	0	242	0	0	23565.9980469	0	0	0	0	0	192527	234174.75	868	40611.0039062	0	0	26747	0	8085	168564	19832.0019531	0	57847	0	0	58175	0	0	0	11384	0	0	0
mOTU_linkage_group_15	1775.49987793	0	0	125422.308594	36238.90234375	72889.19921875	0	0	87844.25	0	0	0	0	0	0	0	0	622.5	171.5	62	0	0	434.499984741	2717.49987793	0	0	0	0	0	0	0	0	0	0	0	485.000015259	0	0	0	0	0	1080	0	0	0	263	546.0000305175	0	44574.8066406	0	0	8419.06298828	0	0	0	0	7184.99975586	0	555	1304.000061035	2033	0	0	0	0	0	1843	237	0	2038	115	3623.428466795	0	3800.99987793	747799.40625	0	0	0	0	0	0	232.5	0	401	0	0	0	0	247.5	16678.5	0	1230	6175.50024414	6216.5	0	0	0	1268.000061035	5096.857177735	41059.6699219	0	0	38287.83984375	5315.21435547	799	6669.99975586	0	646.5000305175	0	512	0	79016.0078125	0	226.0000076295	0	0	0	0	5520.357177735	0	492	0	0	0	6045.571289065	0	0	0	5352.5
mOTU_linkage_group_17	0	0	0	0	0	47248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1461	0	0	0	0	0	0	0	0	0	0	0	4132.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1898	0	0	0	0	0	0	0	0	0	0	0	0	1149.5	0	16000.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52711	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0
